Time elapsed was 523837907955ns or 523.837907955s
Time elapsed was 523838365057ns or 523.838365057s
Time elapsed was 523838628109ns or 523.838628109s
Time elapsed was 534214374542ns or 534.214374542s
Time elapsed was 534214194596ns or 534.214194596s
Time elapsed was 534228611728ns or 534.228611728s
Time elapsed was 431441472478ns or 431.441472478s
Time elapsed was 431441455031ns or 431.441455031s
Time elapsed was 431603498425ns or 431.603498425s
Time elapsed was 259539593653ns or 259.539593653s
Time elapsed was 259539605389ns or 259.539605389s
Time elapsed was 259539642410ns or 259.539642410s
Time elapsed was 259427069897ns or 259.427069897s
Time elapsed was 259427030235ns or 259.427030235s
Time elapsed was 259427107248ns or 259.427107248s
Time elapsed was 257775648737ns or 257.775648737s
Time elapsed was 257775454077ns or 257.775454077s
Time elapsed was 257775542089ns or 257.775542089s
Time elapsed was 256095079100ns or 256.095079100s
Time elapsed was 256095117393ns or 256.095117393s
Time elapsed was 256095141090ns or 256.095141090s
Time elapsed was 261818911989ns or 261.818911989s
Time elapsed was 261819100977ns or 261.819100977s
Time elapsed was 261819148132ns or 261.819148132s
Time elapsed was 256299931816ns or 256.299931816s
Time elapsed was 256300073894ns or 256.300073894s
Time elapsed was 256300051339ns or 256.300051339s
Time elapsed was 255467170459ns or 255.467170459s
Time elapsed was 255467234436ns or 255.467234436s
Time elapsed was 255532114300ns or 255.532114300s
